Device: PMTC0000   Connection type - First Gray Box  Date: 11/18/2021
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
PMTC0000;$1;$FF;$0;;;;;;;;;
PMTC0000;$1;$10;$0;u16;ArUrSr;;0;1023;Data;%u;Data;0
PMTC0000;$1;$11;$1;u8;AUS;;0;1;Power;[OFF,ON];PMT HV power supply;OFF
PMTC0000;$1;$12;$2;u16;AUS;NV;0;1600;SHV;%uV;Set PMT cathode voltage;0
PMTC0000;$1;$13;$3;u16;ArUrSr;;0;1600;MHV;%uV;Measured PMT cathode voltage;9
PMTC0000;$1;$14;$4;u16;AUS;NV;1;65535;GWns;%uns;Gate width ns;100
PMTC0000;$1;$15;$5;u16;AUS;NV;0;6553;GWus;%uus;Gate width us;0
PMTC0000;$1;$16;$6;u16;AUS;NV;20;5000;Rate;%uHz;Repetition rate;100
PMTC0000;$1;$17;$7;u8;AUS;NV;0;2;M;[EXT SYNC,CAN SYNC,REPEAT];Sync mode;EXT SYNC
PMTC0000;$1;$FF;$10;;;;;;Test;;Test;
PMTC0000;$1;$18;$11;u16;AS;;0;4095;DI;%u;Delay generator current;2581
PMTC0000;$1;$19;$12;u8;AS;;1;15;KTh;%u;Comparator threshold;8
PMTC0000;$1;$1A;$13;u16;A;;0;2;SW;[Any,GATE OPENED,GATE CLOSED];SW state;Any
PMTC0000;$1;$FF;$20;;;;;;;a;Calibrate;
PMTC0000;$1;$1B;$21;u16;AS;NV;1;65535;MinGWns;%uns;Min gate width ns;50
PMTC0000;$1;$1C;$22;u16;A;NV;20;65535;MaxGWns;%uns;Max gate width ns;450
PMTC0000;$1;$1D;$23;u16;A;NV;1;1600;MaxHV;%uV;Max PMT cathode voltage;1250
PMTC0000;$1;$1E;$24;u16;A;NV;1;4000;CHV;%0.4f;Calibrate HV voltage;0.0312
PMTC0000;$1;$1F;$25;u16;A;NV;1;2000;CMHV;%1.2f;Calibrate HV meter;16.50
PMTC0000;$1;$20;$26;s16;A;NV;-1000;1000;Doff;%d;Delay offset;8
PMTC0000;$1;$21;$27;u16;A;NV;0;100;Cdel;%u;Calibrate delay;8
PMTC0000;$1;$22;$28;u8;A;NV;0;255;Offset;%u;Calibrate offset;190
PMTC0000;$1;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware PMT1K12B;210421
PHD1K000;$3;$FF;$0;;;;;;;;;
PHD1K000;$3;$18;$0;u16;ArUrSr;;0;65535;Data;%u;Data;0
PHD1K000;$3;$11;$1;float;ArUrSr;;0;3.40282346638529E38;Mean;%f;Mean;0
PHD1K000;$3;$12;$2;u16;ArUrSr;;0;10000;StdDev;%.2f%;Standard deviation;0.00
PHD1K000;$3;$13;$3;float;ArUrSr;;0;3.40282346638529E38;Min;%f;Minimum;0
PHD1K000;$3;$14;$4;float;ArUrSr;;0;3.40282346638529E38;Max;%f;Maximum;0
PHD1K000;$3;$15;$5;u16;AUS;NV;1;65535;Batch;%upulses;Batch size;65535
PHD1K000;$3;$16;$6;u8;AS;NV;0;8;Atten;[/1,/2,/4,/8,/16,/32,/64,/128,/256];Attenuator position;/1
PHD1K000;$3;$FF;$10;;;;;;;;Acquisition mode;
PHD1K000;$3;$17;$11;u8;AS;NV;0;2;SyncM;[RISE,FALL,POLL];Sync mode;RISE
PHD1K000;$3;$FF;$20;;;;;;;;Calibrate;
PHD1K000;$3;$19;$21;float;AS;NV;1.17549435082229E-38;3.40282346638529E38;Limit;%f;Energy limit;1E009
PHD1K000;$3;$1A;$25;float;A;NV;1.17549435082229E-38;9.99999968028569E37;CalConst;%f;Calibrate constant;1
PHD1K000;$3;$1D;$28;u16;A;NV;0;10000;Offset;%u;ADC offset;0
PHD1K000;$3;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version PHDMET16;201028
UCP     ;$4;$FF;$0;;;;;;;;;
UCP     ;$4;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware UCPv3;151230
PHD1K000;$5;$FF;$0;;;;;;;;;
PHD1K000;$5;$18;$0;u16;ArUrSr;;0;65535;Data;%u;Data;0
PHD1K000;$5;$11;$1;float;ArUrSr;;0;3.40282346638529E38;Mean;%f;Mean;0
PHD1K000;$5;$12;$2;u16;ArUrSr;;0;10000;StdDev;%.2f%;Standard deviation;0.00
PHD1K000;$5;$13;$3;float;ArUrSr;;0;3.40282346638529E38;Min;%f;Minimum;0
PHD1K000;$5;$14;$4;float;ArUrSr;;0;3.40282346638529E38;Max;%f;Maximum;0
PHD1K000;$5;$15;$5;u16;AUS;NV;1;65535;Batch;%upulses;Batch size;65535
PHD1K000;$5;$16;$6;u8;AS;NV;0;8;Atten;[/1,/2,/4,/8,/16,/32,/64,/128,/256];Attenuator position;/1
PHD1K000;$5;$FF;$10;;;;;;;;Acquisition mode;
PHD1K000;$5;$17;$11;u8;AS;NV;0;2;SyncM;[RISE,FALL,POLL];Sync mode;RISE
PHD1K000;$5;$FF;$20;;;;;;;;Calibrate;
PHD1K000;$5;$19;$21;float;AS;NV;1.17549435082229E-38;3.40282346638529E38;Limit;%f;Energy limit;1E009
PHD1K000;$5;$1A;$25;float;A;NV;1.17549435082229E-38;9.99999968028569E37;CalConst;%f;Calibrate constant;1
PHD1K000;$5;$1D;$28;u16;A;NV;0;10000;Offset;%u;ADC offset;0
PHD1K000;$5;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version PHDMET16;170118
SM5-1   ;$6;$FF;$0;;;;;;;;;
SM5-1   ;$6;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-1   ;$6;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-1   ;$6;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-1   ;$6;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-1   ;$6;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-1   ;$6;$FF;$10;;;;;;;;Motor Setup;
SM5-1   ;$6;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-1   ;$6;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
SM5-1   ;$6;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity;1000
SM5-1   ;$6;$22;$14;u16;AUrS;NV;1;20000;v_min;%uHz;Minimum motor velocity;100
SM5-1   ;$6;$23;$15;u16;AUrS;NV;0;5000;a_max;%uHz/s;Acceleration;500
SM5-1   ;$6;$28;$1A;u8;AUrS;NV;0;250;current0;%.2fA;Winding chopping current;0.50
SM5-1   ;$6;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;NONE
SM5-1   ;$6;$2B;$1D;u8;AUrS;NV;0;7;ref_pol0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Invert reference switches;---
SM5-1   ;$6;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Mode of stopping on refswitches;SOFT
SM5-1   ;$6;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;DISABLED
SM5-1   ;$6;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-1   ;$6;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-1   ;$6;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-1   ;$6;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;---
SM5-1   ;$6;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
SM5-2   ;$7;$FF;$0;;;;;;;;;
SM5-2   ;$7;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-2   ;$7;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-2   ;$7;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-2   ;$7;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-2   ;$7;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-2   ;$7;$FF;$10;;;;;;;;Motor Setup;
SM5-2   ;$7;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-2   ;$7;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
SM5-2   ;$7;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity;1000
SM5-2   ;$7;$22;$14;u16;AUrS;NV;1;20000;v_min;%uHz;Minimum motor velocity;100
SM5-2   ;$7;$23;$15;u16;AUrS;NV;0;5000;a_max;%uHz/s;Acceleration;500
SM5-2   ;$7;$28;$1A;u8;AUrS;NV;0;250;current0;%.2fA;Winding chopping current;0.50
SM5-2   ;$7;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;NONE
SM5-2   ;$7;$2B;$1D;u8;AUrS;NV;0;7;ref_pol0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Invert reference switches;---
SM5-2   ;$7;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Mode of stopping on refswitches;SOFT
SM5-2   ;$7;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;DISABLED
SM5-2   ;$7;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-2   ;$7;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-2   ;$7;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-2   ;$7;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;---
SM5-2   ;$7;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
SM5-3   ;$8;$FF;$0;;;;;;;;;
SM5-3   ;$8;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-3   ;$8;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-3   ;$8;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-3   ;$8;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-3   ;$8;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-3   ;$8;$FF;$10;;;;;;;;Motor Setup;
SM5-3   ;$8;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-3   ;$8;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
SM5-3   ;$8;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity;1000
SM5-3   ;$8;$22;$14;u16;AUrS;NV;1;20000;v_min;%uHz;Minimum motor velocity;100
SM5-3   ;$8;$23;$15;u16;AUrS;NV;0;5000;a_max;%uHz/s;Acceleration;500
SM5-3   ;$8;$28;$1A;u8;AUrS;NV;0;250;current0;%.2fA;Winding chopping current;0.50
SM5-3   ;$8;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;NONE
SM5-3   ;$8;$2B;$1D;u8;AUrS;NV;0;7;ref_pol0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Invert reference switches;---
SM5-3   ;$8;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Mode of stopping on refswitches;SOFT
SM5-3   ;$8;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;DISABLED
SM5-3   ;$8;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-3   ;$8;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-3   ;$8;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-3   ;$8;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;---
SM5-3   ;$8;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
SM5-4   ;$9;$FF;$0;;;;;;;;;
SM5-4   ;$9;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-4   ;$9;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-4   ;$9;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-4   ;$9;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-4   ;$9;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-4   ;$9;$FF;$10;;;;;;;;Motor Setup;
SM5-4   ;$9;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-4   ;$9;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
SM5-4   ;$9;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity;1000
SM5-4   ;$9;$22;$14;u16;AUrS;NV;1;20000;v_min;%uHz;Minimum motor velocity;100
SM5-4   ;$9;$23;$15;u16;AUrS;NV;0;5000;a_max;%uHz/s;Acceleration;500
SM5-4   ;$9;$28;$1A;u8;AUrS;NV;0;250;current0;%.2fA;Winding chopping current;0.50
SM5-4   ;$9;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;NONE
SM5-4   ;$9;$2B;$1D;u8;AUrS;NV;0;7;ref_pol0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Invert reference switches;---
SM5-4   ;$9;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Mode of stopping on refswitches;SOFT
SM5-4   ;$9;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;DISABLED
SM5-4   ;$9;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-4   ;$9;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-4   ;$9;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-4   ;$9;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;---
SM5-4   ;$9;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
SM5-5   ;$A;$FF;$0;;;;;;;;;
SM5-5   ;$A;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-5   ;$A;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-5   ;$A;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-5   ;$A;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-5   ;$A;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-5   ;$A;$FF;$10;;;;;;;;Motor Setup;
